slide_num,trial_index,threat_category,group,central_threat_delta_dwell,sd,n,se,ci95_lo,ci95_hi
1,1,anxiety_inducing,No-PTSD,4.451399999999411,23.858576244955735,12.0,6.887377708753203,-9.047860309156867,17.950660309155687
1,1,anxiety_inducing,PTSD,14.601200000000862,25.68679490750083,17.0,6.229962858070809,2.3904727981820777,26.811927201819646
3,2,anxiety_inducing,No-PTSD,8.159933333333417,31.60887434599037,12.0,9.124696056219298,-9.724470936856406,26.04433760352324
3,2,anxiety_inducing,PTSD,15.879388235295451,31.221122060589693,17.0,7.572234353300765,1.037808902825951,30.72096756776495
4,3,angry_face,No-PTSD,-0.49296666666780425,25.81387645009148,12.0,7.451824258644029,-15.0985422136101,14.112608880274491
4,3,angry_face,PTSD,11.932776470588644,38.98585912673204,17.0,9.455459710880382,-6.599924562736904,30.465477503914194
5,4,anxiety_inducing,No-PTSD,1.2804333333334466,36.01210081532828,12.0,10.395798049906864,-19.095330844484003,21.6561975111509
5,4,anxiety_inducing,PTSD,23.638258823528957,35.46307393612178,17.0,8.601058802806985,6.7801835700272655,40.49633407703065
10,5,anxiety_inducing,No-PTSD,14.284055555556067,28.89977584262961,12.0,8.342646681131024,-2.0675319394607374,30.635643050572874
10,5,anxiety_inducing,PTSD,13.090549019607996,34.456493464976134,17.0,8.35692717908831,-3.2890282514050906,29.47012629062108
11,6,warfare,No-PTSD,12.502300000000446,31.441693112924103,12.0,9.076434991262166,-5.287512582873401,30.292112582874292
11,6,warfare,PTSD,11.897882352940712,26.759923292029605,17.0,6.4902347215567255,-0.8229777013104691,24.618742407191895
15,7,anxiety_inducing,No-PTSD,14.410099999999362,22.25387768661597,12.0,6.424141136440368,1.8187833725762417,27.001416627422483
15,7,anxiety_inducing,PTSD,8.5235529411767,26.115144752760663,17.0,6.333852955525119,-3.8907988516525336,20.937904734005933
16,8,angry_face,No-PTSD,-1.6522333333326953,27.89519549141553,12.0,8.052649313032996,-17.435425986877366,14.130959320211975
16,8,angry_face,PTSD,-2.1506352941184437,25.520144523908353,17.0,6.1895442031236625,-14.282141932240823,9.980871344003933
19,9,angry_face,No-PTSD,-11.461199999997918,38.24516790716722,12.0,11.040428993202717,-33.10044082667524,10.178040826679405
19,9,angry_face,PTSD,13.638588235293831,30.107413712611336,17.0,7.302120403015652,-0.6735677546168475,27.95074422520451
20,10,soldiers,No-PTSD,12.543499999999767,33.534784375576315,12.0,9.680658393227521,-6.430590450726175,31.51759045072571
20,10,soldiers,PTSD,9.88832941176459,28.33834953423921,17.0,6.873059316784782,-3.582866849133584,23.359525672662762
21,11,soldiers,No-PTSD,0.003899999998927465,27.514054587231666,12.0,7.94262341121813,-15.563641885988607,15.571441885986461
21,11,soldiers,PTSD,4.639670588234815,21.153976219725603,17.0,5.130592844454873,-5.416291386896735,14.695632563366367
24,12,anxiety_inducing,No-PTSD,7.033666666667803,34.28494758136389,12.0,9.897211857626326,-12.364868574279797,26.4322019076154
24,12,anxiety_inducing,PTSD,14.89821176470555,32.85711691585815,17.0,7.9690213880795255,-0.7210701559303203,30.51749368534142
25,13,warfare,No-PTSD,1.9223666666668813,27.822820480230533,12.0,8.031756446937866,-13.819875969331335,17.6646093026651
25,13,warfare,PTSD,4.8736470588229555,41.981662419176146,17.0,10.182048734899217,-15.08316846157951,24.83046257922542
26,14,soldiers,No-PTSD,-3.183166666667096,27.3687424865186,12.0,7.900675420986531,-18.668490491800696,12.302157158466503
26,14,soldiers,PTSD,6.604894117647302,38.71266698240504,17.0,9.389200883401017,-11.797939613818691,25.007727849113294
29,15,soldiers,No-PTSD,15.623366666666405,38.554196283138175,12.0,11.129637801229748,-6.190723423743902,37.43745675707671
29,15,soldiers,PTSD,-0.7993411764703175,32.070159890447414,17.0,7.778156274044799,-16.044527473598123,14.44584512065749
