slide_number,expected_duration_ms
1,2500
2,2500
3,2500
4,2500
5,2500
6,2500
7,2500
8,1500
9,1500
10,1500
11,2500
12,2500
13,2500
14,2500
15,2500
16,2500
17,1500
18,2500
19,2500
20,2500
21,2500
22,2500
23,2500
24,2500
25,2500
26,2500
27,1500
28,2500
29,2500
30,2500
31,2500
32,2500
33,2500
34,2500
35,2500
36,2500
37,2500
38,2500
39,2500
40,2500
41,1500
42,2500
43,2500
44,2500
45,1500
46,2500
47,2500
48,2500
49,2500
50,2500
51,2500
52,2500
53,2500
54,2500
55,2500
56,2500
57,2500
58,2500
59,2500
60,2500
61,2500
62,2500
63,2500
64,2500
65,2500
66,2500
67,2500
68,2500
69,2500
70,2500
71,1500
72,2500
73,2500
74,2500
75,2500
