hypothesis,family,category,test_orig,effect_orig,p_uncorrected_orig,p_BH_orig,sig_BH_orig,test_clean,effect_clean,p_uncorrected_clean,p_BH_clean,sig_BH_clean,delta_effect,delta_p_unc,expected,change
H1,mean_dwell_pct,angry_face,Student's t,0.21321059208966825,0.576410145718242,0.7863552812878284,False,Student's t,0.3772198709452824,0.32595845384091204,0.6739020426409689,False,0.16400927885561417,-0.25045169187732996,+,improved
H1,mean_dwell_pct,anxiety_inducing,MW-U,-0.1470588235294117,0.5208272193824912,0.7863552812878284,False,Student's t,0.302030676029691,0.4300880403157884,0.6739020426409689,False,0.4490894995591027,-0.09073917906670281,+,improved
H1,mean_dwell_pct,warfare,Student's t,0.15403001110210982,0.6861084266210049,0.7863552812878284,False,Student's t,0.2544932991830305,0.5054265319807266,0.6739020426409689,False,0.10046328808092067,-0.18068189464027828,+,improved
H1,mean_dwell_pct,soldiers,Student's t,-0.10321625283807219,0.7863552812878284,0.7863552812878284,False,Student's t,-0.03905271730041645,0.9182698188744909,0.9182698188744909,False,0.06416353553765575,0.1319145375866625,+,effect↑ p↑
H2,std_dwell_pct,angry_face,Student's t,0.7556325771431166,0.05518177661260882,0.22072710645043528,False,Student's t,0.6471763362564371,0.09752773599224311,0.39011094396897245,False,-0.10845624088667949,0.04234595937963429,+,regressed
H2,std_dwell_pct,anxiety_inducing,Student's t,0.6205614556635992,0.11137935875011977,0.22275871750023954,False,Student's t,0.3190998510228538,0.40480440568390963,0.7566361322044697,False,-0.3014616046407454,0.29342504693378985,+,regressed
H2,std_dwell_pct,warfare,Student's t,0.04123246931836635,0.9137263226450478,0.9835466481505423,False,Student's t,0.12028413621639644,0.7521627956776094,0.7566361322044697,False,0.07905166689803009,-0.16156352696743848,+,improved
H2,std_dwell_pct,soldiers,Student's t,-0.007847857089066048,0.9835466481505423,0.9835466481505423,False,Student's t,0.11803742195886578,0.7566361322044697,0.7566361322044697,False,0.12588527904793184,-0.2269105159460726,+,improved
H3,std_delta_dwell_pct,angry_face,Student's t,0.22366005378021833,0.5579810819546,0.9599573137291512,False,Student's t,0.16624248430014937,0.6627826026269624,0.9270613816685435,False,-0.05741756948006896,0.10480152067236248,+,regressed
H3,std_delta_dwell_pct,anxiety_inducing,Student's t,0.3611625507692159,0.3466141509367172,0.9599573137291512,False,Student's t,0.23455008553061965,0.5391024076597047,0.9270613816685435,False,-0.12661246523859623,0.19248825672298753,+,regressed
H3,std_delta_dwell_pct,warfare,Student's t,0.053511608180071266,0.8881916469912982,0.9599573137291512,False,Student's t,-0.1332296205074535,0.7265630377409472,0.9270613816685435,False,-0.18674122868752474,-0.16162860925035094,+,p↓ effect↓
H3,std_delta_dwell_pct,soldiers,Student's t,-0.019106454619234502,0.9599573137291512,0.9599573137291512,False,Student's t,0.03483871796575965,0.9270613816685435,0.9270613816685435,False,0.05394517258499415,-0.0328959320606077,+,improved
H4,std_dwell_pct,angry_face,Pearson r,0.13479955111586456,0.6059781529312623,0.6059781529312623,False,Pearson r,0.21577769483144363,0.4055368620724616,0.4055368620724616,False,0.08097814371557907,-0.20044129085880075,+,improved
H4,std_dwell_pct,anxiety_inducing,Pearson r,-0.3959409731718845,0.11565942474031878,0.20126252837036954,False,Pearson r,-0.4270283390519981,0.08734570137377734,0.16250688311092695,False,-0.031087365880113627,-0.028313723366541435,+,p↓ effect↓
H4,std_dwell_pct,warfare,Pearson r,-0.363970002010125,0.15094689627777716,0.20126252837036954,False,Pearson r,-0.3898540052908889,0.12188016233319521,0.16250688311092695,False,-0.0258840032807639,-0.02906673394458195,+,p↓ effect↓
H4,std_dwell_pct,soldiers,Pearson r,-0.42357432369301795,0.09021540255001252,0.20126252837036954,False,Pearson r,-0.45664901567123856,0.06538370345301403,0.16250688311092695,False,-0.033074691978220605,-0.02483169909699849,+,p↓ effect↓
H4,std_delta_dwell_pct,angry_face,Pearson r,-0.1792881958785997,0.49111952000538966,0.49111952000538966,False,Pearson r,-0.08855864843112488,0.7353712814540123,0.7353712814540123,False,0.09072954744747483,0.24425176144862265,+,effect↑ p↑
H4,std_delta_dwell_pct,anxiety_inducing,Pearson r,-0.2932848690048126,0.2532524985278777,0.33766999803717024,False,Pearson r,-0.3012385929635767,0.24000413455040534,0.3690181143597417,False,-0.007953723958764092,-0.013248363977472338,+,p↓ effect↓
H4,std_delta_dwell_pct,warfare,Pearson r,-0.35866345346725836,0.15744311423723967,0.33766999803717024,False,Pearson r,-0.3243262953604365,0.20406845859836736,0.3690181143597417,False,0.03433715810682186,0.046625344361127696,+,effect↑ p↑
H4,std_delta_dwell_pct,soldiers,Pearson r,-0.33096448902977765,0.19442507242504736,0.33766999803717024,False,Pearson r,-0.2797841466903997,0.27676358576980625,0.3690181143597417,False,0.05118034233937796,0.08233851334475889,+,effect↑ p↑
H5,mean_visits,angry_face,Student's t,0.3052333864768692,0.42527146833099494,0.570876678512175,False,Student's t,0.3602332996993653,0.3478359213136286,0.4637812284181715,False,0.05499991322249609,-0.07743554701736632,+,improved
H5,mean_visits,anxiety_inducing,Student's t,0.21633016513209657,0.570876678512175,0.570876678512175,False,Student's t,0.364944867369229,0.3416710142246625,0.4637812284181715,False,0.1486147022371324,-0.22920566428751254,+,improved
H5,mean_visits,warfare,Student's t,0.2517878868648543,0.509925344460862,0.570876678512175,False,Student's t,0.39840866896328325,0.3000195576053197,0.4637812284181715,False,0.14662078209842894,-0.20990578685554234,+,improved
H5,mean_visits,soldiers,MW-U,0.18137254901960786,0.4226066516078181,0.570876678512175,False,MW-U,0.11764705882352944,0.6085989985631527,0.6085989985631527,False,-0.06372549019607843,0.18599234695533462,+,regressed
H5,mean_visits_late,angry_face,Student's t,0.19155971256742088,0.6155328825517188,0.6155328825517188,False,Student's t,0.2623299054865903,0.49252060194742353,0.656694135929898,False,0.07077019291916942,-0.12301228060429525,+,improved
H5,mean_visits_late,anxiety_inducing,Student's t,0.27236913442571486,0.4762633429640498,0.6155328825517188,False,Student's t,0.4376869208300606,0.2558601952929685,0.656694135929898,False,0.16531778640434575,-0.22040314767108132,+,improved
H5,mean_visits_late,warfare,Student's t,0.19839537169699545,0.603047929542964,0.6155328825517188,False,Student's t,0.28414161680263145,0.4576009573324351,0.656694135929898,False,0.085746245105636,-0.14544697221052894,+,improved
H5,mean_visits_late,soldiers,Student's t,-0.2138295626645695,0.5753100987605151,0.6155328825517188,False,Student's t,0.022132783321779457,0.9536218670328418,0.9536218670328418,False,0.23596234598634896,0.3783117682723267,+,effect↑ p↑
H6,mean_dwell_pct,angry_face,Pearson r,-0.30234518297726426,0.23819628829029627,0.47639257658059253,False,Pearson r,-0.2605141708786826,0.31254839990031996,0.5693687602761027,False,0.041831012098581644,0.0743521116100237,-,regressed
H6,mean_dwell_pct,anxiety_inducing,Kendall τ_b,-0.30153837989228355,0.10305986998440239,0.41223947993760957,False,Pearson r,-0.24868287285215065,0.33580758258483,0.5693687602761027,False,0.05285550704013289,0.23274771260042762,-,regressed
H6,mean_dwell_pct,warfare,Pearson r,-0.1950941405187329,0.4530264806249139,0.574660328681836,False,Pearson r,-0.20250145857907084,0.43570524464903376,0.5693687602761027,False,-0.007407318060337953,-0.017321235975880145,-,improved
